ID,Date,Price,Location
566445,9/10/2009,"$215,000.00 ",Section: 36 Township: 37 Range: 16
566617,9/18/2009,"$255,000.00 ",Quarter: NW/4 Section: 25 Township: 37 Range: 15
566697,9/21/2009,"$125,000.00 ",Section: 26 Township: 36 Range: 16
566858,9/29/2009,"$75,000.00 ",Quarter: NW/4 Section: 13 Township: 36 Range: 14
566880,9/25/2009,"$123,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
566894,9/30/2009,"$125,000.00 ",0 Subdivision: WEST FORK RANCH CABIN SITES Tract: 17
566901,9/25/2009,"$115,000.00 ",Quarter: NW/4 Section: 24 Township: 37 Range: 17
566926,9/28/2009,"$260,000.00 ",Section: 4 Township: 36 Range: 16
567027,10/7/2009,"$30,000.00 ",Quarter: SW Section: 3 Township: 38 Range: 17 Subdivisi...
567067,10/8/2009,"$242,500.00 ",Quarter: SW/4 Section: 18 Township: 36 Range: 15 Subdiv...
567133,10/13/2009,"$159,100.00 ",Section: 34 Township: 36 Range: 18
567167,10/14/2009,"$110,000.00 ",Quarter: SE/4 Section: 27 Township: 36 Range: 16 Subdiv...
567215,10/15/2009,"$350,000.00 ",Section: 5 Township: 35 Range: 15
567244,10/19/2009,"$246,000.00 ",Quarter: SW/4 Section: 35 Township: 37 Range: 16
567269,10/20/2009,"$83,600.00 ",Quarter: NE/4 Section: 16 Township: 36 Range: 16
567370,10/26/2009,"$382,500.00 ",Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ...
567385,10/23/2009,"$197,000.00 ",Quarter: SE/4 Section: 34 Township: 37 Range: 14
567429,10/29/2009,"$140,000.00 ",Section: 16 Township: 37 Range: 16
567553,11/3/2009,"$91,000.00 ",Section: 1 Township: 36 Range: 14 Subdivision: LONE PIN...
567617,11/9/2009,"$350,000.00 ",Sixteenth: SE Quarter: NW Section: 17 Township: 37 Range...
567774,11/17/2009,"$195,000.00 ",Section: 9 Township: 36 Range: 15
567860,11/20/2009,"$62,500.00 ",Quarter: NE/4 Section: 33 Township: 37 Range: 14 Subdiv...
567892,11/20/2009,"$151,900.00 ",Section: 10 Township: 35 Range: 16 TR SE1/4SE1/4 3.04A ...
567934,11/25/2009,"$133,500.00 ",Quarter: SW/4 Section: 35 Township: 37 Range: 16
567937,11/25/2009,"$161,400.00 ",Quarter: SW Section: 3 Township: 38 Range: 17 Subdivisi...
568019,12/2/2009,"$387,000.00 ",Section: 2 Township: 36 Range: 16 Subdivision: LEBANON ...
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568038,12/2/2009,"$60,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16
568044,11/19/2009,"$83,600.00 ",Quarter: NE/4 Section: 16 Township: 36 Range: 16
568072,12/7/2009,"$300,000.00 ",Quarter: SW/4 Section: 22 Township: 36 Range: 14 Subdiv...
568136,12/3/2009,"$132,000.00 ",Quarter: NE/4 Section: 33 Township: 37 Range: 14 Subdiv...
568160,11/6/2009,"$90,000.00 ",Section: 7 Township: 35 Range: 16 Subdivision: SAGE HIL...
568189,12/11/2009,"$145,000.00 ",Quarter: SW/4 Section: 10 Township: 37 Range: 16
568293,12/14/2009,"$90,000.00 ",Section: 6 Township: 36 Range: 13
568342,12/18/2009,"$269,000.00 ",Quarter: SW/4 Section: 31 Township: 37 Range: 16
568347,11/11/2009,"$175,000.00 ",Quarter: SW/4 Section: 19 Township: 37 Range: 16 Subdiv...
568351,12/17/2009,"$140,000.00 ",Quarter: NE/4 Section: 19 Township: 39 Range: 17
568361,12/18/2009,"$228,500.00 ",Quarter: SE/4 Section: 34 Township: 37 Range: 14
568418,12/23/2009,"$200,000.00 ",Section: 6 Township: 37 Range: 16 Subdivision: SUNNYSID...
568510,12/22/2009,"$91,000.00 ",Section: 1 Township: 36 Range: 14 Subdivision: LONE PIN...
568649,1/8/2010,"$169,000.00 ",0 Subdivision: LEBANON TOWNSITE Block: 24 Lot: 1-4
568724,1/13/2010,"$70,000.00 ",Quarter: NE/4 Section: 31 Township: 35 Range: 16
568778,1/14/2010,"$199,000.00 ",Section: 7 Township: 36 Range: 15
568823,1/19/2010,"$35,000.00 ",Quarter: SW/4 Section: 11 Township: 35 Range: 16
569112,2/8/2010,"$165,000.00 ",Quarter: SE/4 Section: 10 Township: 37 Range: 15 Subdiv...
569136,2/10/2010,"$470,000.00 ",Quarter: SW/4 Section: 31 Township: 37 Range: 16
569271,2/12/2010,"$175,000.00 ",Quarter: SE/4 Section: 30 Township: 36 Range: 13
569332,2/19/2010,"$55,000.00 ",Quarter: SE/4 Section: 26 Township: 39 Range: 17 Subdiv...
569408,2/25/2010,"$223,500.00 ",Quarter: NW/4 Section: 30 Township: 36 Range: 15 Subdiv...
569440,2/26/2010,"$210,000.00 ",Quarter: NW/4 Section: 11 Township: 36 Range: 16
569477,3/2/2010,"$390,000.00 ",Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv...
569697,3/18/2010,"$139,900.00 ",Quarter: NE/4 Section: 16 Township: 37 Range: 15 Subdiv...
569741,3/19/2010,"$139,900.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
569910,3/26/2010,"$160,000.00 ",Section: 26 Township: 36 Range: 16
569977,3/26/2010,"$185,000.00 ",Subdivision: GEORGE BAUERS (FIRST & SECOND) Lot: 1 Block...
569983,3/31/2010,"$220,000.00 ",Quarter: SW/4 Section: 14 Township: 36 Range: 16
570093,3/26/2010,"$255,000.00 ",Section: 9 Township: 36 Range: 16 Subdivision: TULAROSA...
570132,4/8/2010,"$62,500.00 ",Quarter: NW/4 Section: 22 Township: 36 Range: 16
570187,4/12/2010,"$280,000.00 ",Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ...
570223,4/13/2010,"$325,000.00 ",Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ...
570263,4/15/2010,"$238,500.00 ",Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv...
570280,4/16/2010,"$135,500.00 ",Quarter: NW/4 Section: 15 Township: 36 Range: 16
570313,4/21/2010,"$45,000.00 ",Quarter: SW/4 Section: 33 Township: 36 Range: 15 Subdiv...
570429,4/23/2010,"$175,000.00 ",Quarter: NE/4 Section: 17 Township: 36 Range: 15
570486,4/28/2010,"$325,000.00 ",Quarter: NW/4 Section: 20 Township: 35 Range: 16
570532,4/30/2010,"$165,000.00 ",Quarter: NW/4 Section: 24 Township: 36 Range: 16 Subdiv...
570540,4/30/2010,"$157,500.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
570554,5/1/2010,"$30,000.00 ",Sixteenth: NW Quarter: SW/4 Section: 10 Township: 35 Ran...
570584,4/30/2010,"$306,000.00 ",Quarter: NE/4 Section: 36 Township: 36 Range: 16
570598,5/4/2010,"$200,000.00 ",Section: 9 Township: 36 Range: 13
570640,5/6/2010,"$75,000.00 ",Section: 1 Township: 36 Range: 14
570782,5/14/2010,"$349,900.00 ",Quarter: NE/4 Section: 20 Township: 36 Range: 16
570785,5/14/2010,"$38,000.00 ",Quarter: SW Section: 33 Township: 36 Range: 15 Subdivis...
570792,5/14/2010,"$150,000.00 ",Sixteenth: NW Quarter: NW Section: 35 Township: 36 Range...
570863,5/17/2010,"$265,000.00 ",Quarter: SE/4 Section: 29 Township: 36 Range: 13 Subdiv...
570865,5/17/2010,"$234,200.00 ",Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv...
571031,5/27/2010,"$182,700.00 ",Section: 34 Township: 36 Range: 18
571039,5/27/2010,"$90,000.00 ",Quarter: SW/4 Section: 18 Township: 36 Range: 15 Subdiv...
